review,keyword1,keyword2,keyword3,context1_keyword,context2_keyword,context3_keyword,sentiment1,sentiment2,sentiment3
"ร้านอาหารใหญ่มากกกกกกก 
เลี้ยวเข้ามาเจอห้องน้ำก่อนเลย เออแปลกดี 
ห้องทานหลักๆอยู่ชั้น 2 มีกาแฟ น้ำผึ้ง ซึ่งก็แค่เอาน้ำผึ้งมาราด แพงเวอร์ อย่าสั่งเลย 
ลาบไข่ต้ม ไข่มันคาวอะ เลยไม่ประทับใจเท่าไหร่
ทอดมันหัวปลีกรอบอร่อยต้องเบิ้ล 
พะแนงห่อไข่อร่อยดี เห้ยแต่ราคา 150บาทมันเกินไปนะ รับไม่ไหวว
เลิกกินแล้วมีขนมหวานให้กินฟรีเล็กน้อย )ขนมไทย) 

คงไม่ไปซ้ำ แพงเกิน ",ราคา,บรรยากาศ,ไข่ต้ม,ราคา 150 บาทมันเกินไปนะ รับไม่ไหวว,บรรยากาศร้านใหญ่มากกกกกกก,ไข่ต้ม,negative,positive,neutral
"วันนี้ได้มีโอกาสไปนั่งซดกาแฟที่ร้านวาวี แถวๆอารีย์

ก็ได้ยินมาบ่อยๆละ จากหลายที่ แต่ที่บ่อยสุดก็จาก Twitter ว่ากาแฟที่นี่อร่อยมากกกกกกก
เรียกว่าระดับแฟนๆ Starbuck ยังต้องเหลียวมามอง ก็ดองมานานจนถึงวันนี้โอกาสเหมาะ ไป
present งานที่ตึก Software Park เสร็จก็เลยมาหาไรกินแถวนี้พอดี
จัดไป.....


บรรยากาศรอบๆร้านก็แต่งได้น่านั่ง อารมณ์ประมาณว่าอยู่ในสวนบ้านเราเอง ต้นไม้เยอะดี
อย่างน้อยก็เป็นสีเขียวเล็กๆ ในใจกลางเมืองได้ละ
เขียวชอุ่ม

ว่าแล้วไม่รอช้าขอ Test ไม่สิ Taste เลยดีกว่าเดินเข้าร้านทันใด ป้าบบ...

""พี่คับ เอา...ลาเต้ ร้อนแก้วนึงคับ""
ว่างๆ มานั่งจิบกาแฟ ฟังเพลง พักผ่อนได้ดีทีเดียว

จ่ายตังเสร็จ ก็ถูกพนักงานอัญเชิญไปรอที่โต๊ะ 55+ เพราะที่นี่เขาเสริฟให้ถึงที่ หุๆ
ก็เลือกที่นั่งริมกระจก จะได้เห็นสาวๆ เอ้ย วิวถนัดๆหน่อย
นั่งชมวิวรอกาแฟมา

ไม่นานเกินอึดใจ ไวไวยังไม่ทันสุก ลาเต้ร้อนๆก็มาวางอยู่ข้างหน้า
ซู้ดดดดดดด อ่าห์

ชำเลืองตามองลงไป....โอ้วว ที่นี่มีเล่นลายฟองนมด้วยเว้ยยย
แต่พอดีด้วยความตะกละไปนิดดันฉีกน้ำตาลเทใส่แล้วเผลอคน ก็เลยไม่ได้
ถ่ายรูปมาให้ดู 55+ เหลือแต่ซากอารยธรรมลาเต้เมพๆ


หน้าตาผ่าน ที่นี่ก็รสชาติ 1...2.....ชู้ดดดดดดด
เฮ้ยยย นี่มัน....เมพพพพ ถึงเราจะไม่ค่อยรู้เรื่องกาแฟมากนัก แต่เท่าที่เคยลองชิมๆ
มา รสชาติและกลิ่นมันไม่ธรรมดาเลย หอมๆ ถือว่าเป็นมวยรุ่นเดียวกะ Starbuck ได้


เมนูอื่นๆ ลองชิม Coco ปั่น ของเพื่อนก็แหล่มไม่แพ้กัน วิปครีมหวานมัน โกโก้ก็หอม
ส่วนเพื่อนอีกคนสั่งน้ำส้มกะเค้กช็อกโกแลตมันก็บอกว่าแจ่ม ......


สรุปก็คือ บรรยากาศก็ดี บริการก็ดี กาแฟอร่อย ราคาไม่แพง(แต่กินบ่อยก็จุกได้)
ถ้าครายผ่านแถวอารีย์มากินเหอะ ซอยไรจำไม่ได้รู้แต่อยู่ตรงข้าม Villa ตรง BS อารีย์เลยอะ 55+

ถ่ายโดย : Tan
กล้อง : ซัมซวย Omnia i900 (สีภาพถึงได้ไม่ค่อยสวยเท่าไหร) ",กาแฟ,บรรยากาศ,รสชาติ,กาแฟที่นี่อร่อยมากกกกกกก เรียกว่าระดับแฟนๆ Starbuck ยังต้องเหลียวมามอง,บรรยากาศรอบๆร้านก็แต่งได้น่านั่ง อารมณ์ประมาณว่าอยู่ในสวนบ้านเราเอง ต้นไม้เยอะดี อย่างน้อยก็เป็นสีเขียวเล็กๆ ในใจกลางเมืองได้ละ เขียวชอุ่ม,รสชาติและกลิ่นมันไม่ธรรมดาเลย หอมๆ ถือว่าเป็นมวยรุ่นเดียวกะ Starbuck ได้,positive,positive,positive
"สารภาพว่าไม่เคยคิดจะไปต่อคิวซื้อมากินเองครับ บังเอิญมีรุ่นน้องที่ไม่ได้เจอกันนานชวนไปเป็นเพื่อน แล้วเค้าให้ซื้อได้คนละกล่อง เลยเข้าไปต่อคิวซื้อให้น้องเพิ่มอีกกล่องนึง น้องใจดีแบ่งมาให้ชิมหนึ่งชิ้นถ้วน ^^""

รออยู่เกือบสองชั่วโมง ได้ลัดคิวเพราะสั่ง original แบบ glazed ทั้งกล่อง หลังร้านจะมีที่นั่งนะครับ เป็นโต๊ะเก้าอี้ แต่ไม่ค่อยมีคนนั่งซักเท่าไหร่ ก็สะดวกดีสำหรับการนัดพบกัน (ถ้าร้านยังอยู่ต่อไปนะ ^^)

มาถึงตัวโดนัท เสียดายที่ใส่กล่องทิ้งไว้นานแล้วเลยไม่ค่อยอุ่น ถ้าเสร็จใหม่ๆหรือเอาไปอบเพิ่มน่าจะดีกว่านี้ เนื้อแป้งนิ่มมากถ้าเทียบกับยี่ห้อใกล้เคียงที่เป็นแบบเดียวกัน ทำให้เวลาจับเบาๆน้ำตาลก็จะร่วงออกมาง่ายไปหน่อย

น้องบอกว่าหวานไป ผมเห็นด้วยส่วนนึง เพราะแป้งนิ่มเวลากินก็จะทำให้รับรสหวานจากแป้งได้ง่ายกว่า ยิ่งทำให้น้ำตาลที่เคลือบอยู่แบบไม่หนา ซึ่งหวานพอดีอยู่แล้วดันหวานขึ้นไปอีก แต่ถ้ากินพร้อมกาแฟน่าจะเวิร์กครับ

ก็หวังว่าจะอยู่ต่อไปนานๆ อย่าโรยราไปตามความนิยมที่ยังไงๆ ก็ต้องลดลงตามเวลา่นะครับ :D",โดนัท,รสชาติ,ความหวาน,เนื้อแป้งนิ่มมากถ้าเทียบกับยี่ห้อใกล้เคียงที่เป็นแบบเดียวกัน ทำให้เวลาจับเบาๆน้ำตาลก็จะร่วงออกมาง่ายไปหน่อย,เนื้อแป้งนิ่มมากถ้าเทียบกับยี่ห้อใกล้เคียงที่เป็นแบบเดียวกัน ทำให้เวลาจับเบาๆน้ำตาลก็จะร่วงออกมาง่ายไปหน่อย,แป้งนิ่มเวลากินก็จะทำให้รับรสหวานจากแป้งได้ง่ายกว่า,negative,negative,neutral
"ร้านอาหารญี่ปุ่นร้านนี้ ใจจริงไม่อยากแนะนำเลยค่ะ อยากเก็บไว้เป็นความลับคนเดียว เพราะไม่อยากให้คนมาแย่งกินเลย ร้านนี้ดิชั้นยกให้เป็น ""Best value Japanese set lunch in Thonglor"" รู้จักมาได้เพราะจับได้ว่าส๊ามีชอบแอบไปกินอยู่คนเดียว พอถามเค้าว่าทำไมต้องไปกินคนเดียวด้วย เค้าก็บอกว่าอาหารที่นี่เป็นอาหารแห่งจิตวิิญญาณของเค้า เค้าอยากจะซึมซับมันเงียบๆ คนเดียว ดิชั้นเข้าใจเค้าค่ะ เพราะจำได้ว่าตอนที่เค้าพาดิชั้นกับลูกวัยซนไปกินครั้งแรก วิบัติมาก 

เข้าเรื่องดีกว่า จะดุูว่าร้านญี่ปุ่นร้านไหนอร่อย และที่สำคัญคุ้มค่า ในย่านทองหล่อนะคะ ให้ดูว่ามื้อกลางวันแม่บ้านญี่ปุ่นเค้าไปทานกันที่ไหน วาซาบิอันเป็นหนึ่งในร้านที่แม่บ้านญี่ปุ่นนิยมทานกัน สาเหตุก็เพราะคุณภาพอาหารและราคาที่ยากจะหาใครสู้ค่ะ วันนี้สั่งอาหารชุดปลาซาบะย่าง (300 บาท) มีให้เลือกว่าจะย่างเกลือหรือย่างซีอิ๊ว แค่ได้เห็นปลาที่ยกมาเสิร์ฟก็คุ้มค่าแล้วค่ะ เพราะร้านอื่นๆ รูปปลาในเมนูมักจะดูชิ้นใหญ่กว่าที่เสิร์ฟ แต่ร้านนี้ปลาที่ได้ชิ้นใหญ่กว่าที่เห็นในเมนูมาก ขนาดเท่าฝ่ามือเลยค่ะ ปลาซาบะย่างเกลือทานกับหัวไขเท้าฝนและบีบมะนาวนิดหน่อย เนื้อปลาหวานนุ่มชุ่มน้ำมันปลา กินกับข้าวญ่ีปุ่นร้อนๆ อร่อยอย่าบอกใคร แทบจะลืมเครื่องเคียงที่เอาไว้แกล้ม มีทั้งหน่อไม้คลุกปลาแห้ง แตงกวาดอง ซุปมิโซะ และไข่ตุ่๋น  ไข่ตุ่๋นที่นี่เน้ือเนียนนุ่ม ตักเข้าปากแล้ว melt in your mouth ทันที รสชาดก็เริ่ด เพราะเค้าใช้น้ำซุปอย่างดีมาทำค่ะ พอทานไปแป๊บนึงเค้าก็จะยกปลาดิบที่แถมมากับเซ็ต ซึ่งมีปลาโอ 2 ชิ้นเบิ้ม และปลาหมึกอีก 2 ชิ้น โอวสุดคุ้ม

ส่วนส๊ามีสั่ง Tekkadon Set (ข้าวหน้าปลาทูน่าเนื้อแดง 340 บาท) เชฟบอกว่าปลาทูน่าเพิ่งส่งมาจากญี่ปุ่นเลยค่ะ ปลาทูน่าชิ้นใหญ่ 8 ชิ้นวางลงบนข้าวคลุกน้ำส้มสายชู คัมเปียว เห็ดหอมหมักซีอิ๊ว รสชาดกลมกล่อม เอาวาซาบิสดๆ แต้มบนเนื้อปลานิดนึง เสร็จแล้วเอาโชยุราดทับ ฮีอม ในเซ็ตยังมีไข่ตุ่นและอุด้ง ซึ่งมีให้เลือกทั้งร้อนและเย็น วันนี้เราสั่งแบบร้อน ซุปเค้ารสชาดดีมาก ส๊ามีบอกว่า ชิราชิเซ็ต (ข้าวหน้าปลาดิบรวม) ของร้านนี้ก็คุ้มสุดยอด 

ทานเสร็จยังมีชากาแฟ ร้อนหรือเย็น เสิร์ฟพร้อมขนมโมจิ และถั่วแดงเย็นปิดท้าย เห็นมั๊ยล่ะคะ คุ้มค่าขนาดนี้แม่บ้านญี่ปุ่นถึงได้มา ""โออิชิ โออิชิ"" กันทุกกลางวัน ตอนจ่ายเงินก็ไม่หงุดหงิด เพราะราคาในเมนูคือราคาที่เน็ตแล้ว ไม่มี VAT หรือ Service charge มาบวกเพิ่มให้กวนใจ

วาซาบิอันตั้งอยู่ที่ต้นซอยทองหล่อฝั่งสุขุมวิท ตรงทางเข้า Grand Tower จอดรถได้ในลานจอดของ Grand Tower แล้วนำบัตรมาประทับตราที่ร้านค่ะ",วาซาบิ,ปลาซาบะ,ข้าวหน้าปลา,วาซาบิอันเป็นหนึ่งในร้านที่แม่บ้านญี่ปุ่นนิยมทานกัน สาเหตุก็เพราะคุณภาพอาหารและราคาที่ยากจะหาใครสู้ค่ะ,วันนี้สั่งอาหารชุดปลาซาบะย่าง (300 บาท) มีให้เลือกว่าจะย่างเกลือหรือย่างซีอิ๊ว แค่ได้เห็นปลาที่ยกมาเสิร์ฟก็คุ้มค่าแล้วค่ะ เพราะร้านอื่นๆ รูปปลาในเมนูมักจะดูชิ้นใหญ่กว่าที่เสิร์ฟ แต่ร้านนี้ปลาที่ได้ชิ้นใหญ่กว่าที่เห็นในเมนูมาก ขนาดเท่าฝ่ามือเลยค่ะ ปลาซาบะย่างเกลือทานกับหัวไขเท้าฝนและบีบมะนาวนิดหน่อย เนื้อปลาหวานนุ่มชุ่มน้ำมันปลา กินกับข้าวญี่ปุ่นร้อนๆ อร่อยอย่าบอกใคร,ส่วนส๊ามีสั่ง Tekkadon Set (ข้าวหน้าปลาทูน่าเนื้อแดง 340 บาท) เชฟบอกว่าปลาทูน่าเพิ่งส่งมาจากญี่ปุ่นเลยค่ะ ปลาทูน่าชิ้นใหญ่ 8 ชิ้นวางลงบนข้าวคลุกน้ำส้มสายชู คัมเปียว เห็ดหอมหมักซีอิ๊ว รสชาดกลมกล่อม เอาวาซาบิสดๆ แต้มบนเนื้อปลานิดนึง เสร็จแล้วเอาโชยุราดทับ ฮีอม ในเซ็ตยังมีไข่ตุ่นและอุด้ง ซึ่งมีให้เลือกทั้งร้อนและเย็น,positive,positive,positive
"เดือนแรกที่เค้าต่อคิวกัน 2 - 3 ชั่วโมง เราก็ว่าเค้าบ้าอ่ะ...เมืองนอกเมืองนาเค้าแจกฟรีให้ชิมในขณะที่ทำ Original Glazed สดๆ ... แล้ววันนึงอ้อมที่อ้อมเบื่อ(งาน)ถึงขีดสุด ก็ไปลองต่อแถวมั่ง ฮ่าๆๆ บ้าดีเนอะ ต่อไปก็แอบฟังคนข้างๆคุยกัน...ส่วนมากจะเป็นแบบว่า แฟนสาว ""เธอว์...เพื่อนเค้าบอกว่าอร่อยแบบละลายในปากเลยนะ อยากกิวอ่าอยากกิว""...แฟนหนุ่ม (คิดในใจ ถ้าพูดออกมาเดี๋ยวมีงอน)""บ้าป่าวอ่ะ ต่อไรนาน วู้ววว"" ต่อคิว 2 ชั่วโมงครึ่งค่ะ พอซื้อได้เหมือนมีชัยชนะ โดนัทอร่อยขึ้นมาอย่างไม่น่าเชื่อ แต่อ้อมซื้อแล้วก็แจกคนไปทั่วนะคะ กินแค่ 2 ชิ้นพอ แบ่งปันความสุขให้คนอื่น มีความสุขอีกสิบเท่าค่ะ

เข้าเรื่อง!! KK นี่กินมาหลายสาขาก่อนเปิดที่ไทย ขอบอกว่า KK ไทย ไม่ทำให้ผิดหวัง Original glazed รสชาติเหมือนกันเรย :) นิ่มสยิวกิ้ววว >_<"" ถ้าจะให้ดีต้องกินแบบใหม่ๆเลยนะคะ แป้งจะนุ่ม น้ำตาลจะกรอบและไม่หวานเกินไป เรียกได้ว่าเป็นสุดยอดโดนัทจริงๆ กินยังไงก็ยังอร่อยค่ะ แต่ถ้าปล่อยข้ามวันแล้ว ถึงแม้จะเอามาเวฟ 8 วิ ก็จะรู้สึกว่าหวานไปนิส ขอแนะนำให้กินกะกาแฟค่ะ หวานนิสตัดกะขมหน่อย อร่ออยเหาะเลยค่ะ

รสชาติอื่นยังไม่เคยลองสาขานี้นะคะ แต่ยังไงอ้อมว่า Original glazed ก็ฟินสุดละค่ะ ยอมรับว่าอาจจะไม่คุ้มกับการต่อคิว 2 ชั่วโมง แต่ตอนนี้คิวแค่ 10 นาที (ฝั่งติดกระจกเป็นแบบเลือกหลายรส ถ้าฝั่งด้านนอกเป็นแถว Original glazed เท่านั้น) ขอบอกว่าคุ้มอย่างแน่นอนนะคะ ขอติดให้ห้าตาวค่ะ ด้วยความที่เป็นสาวกมานาน

ปล.ตอนอ้อมซื้อ Citibank ซื้อ 12 ชิ้น (รสใดก็ได้) ได้ฟรี 6 ชิ้น Original glazed ค่ะ",โดนัท,Original Glazed,คิว,Original Glazed รสชาติเหมือนกันเรย,Original Glazed รสชาติเหมือนกันเรย,ต่อคิว 2 ชั่วโมงครึ่งค่ะ พอซื้อได้เหมือนมีชัยชนะ,neutral,neutral,positive
"เข้าวังไปจิบกาแฟกันนะครับ บอกได้เลยว่า มาร้านนี้ อิ่มท้อง แล้วก็อิ่มใจ ที่ได้รับรู้เรื่องราวประวัติศาตร์ของวังพญาไท รู้สึกภูมิใจในประเทศของเราจัง ร้านกาแฟแห่งนี้มีประวัติยาวนาน เป็นร้านกาแฟที่สืบทอดมาจากร้านกาแฟ นรสิงห์เดิมที่ตั้งอยู่มุมสนามเสือป่า ซึ่งนับเป็น ‘คาเฟ่’ แห่งแรกของสยามประเทศที่เกิดขึ้นในสมัยรัชกาลที่ 6 ปัจจุบันร้านกาแฟนรสิงห์อยู่ในเขตพระราชวังพญาไท ภายใน รพ.พระมงกุฏ ให้บรรยากาศคลาสสิกเหมือนไปจิบกาแฟในพระราชวังเก่า ที่อนุญาติให้เปิดเป็นร้านกาแฟได้ เพราะอาคารนี้เป็นเพียงอาคารเทียบรถพระที่นั่ง หรือเรียกกันว่า พระที่นั่งพิมานจักรี ซึ่งก็ให้สามัญชนเข้าใช้รอ ก่อนที่จะเข้าเฝ้าครับ โดยอาคารมีกลิ่นไอแบบตะวันตก รายละเอียดผนัง โคมไฟ หน้าต่างกระจก ดูสวยงามตามยุคสมัยนั้น หลังจากอิ่มท้องกับกาแฟ เค้ก และอาหารแล้วเรายังสามารถเดินเยี่ยมชมพระราชวังพญาไท และบริเวณโดยรอบได้อีกด้วย

http://gadget4thai.com/?p=1360

Cafe de Norasingha ร้านกาแฟ นรสิงห์ ณ วังพญาไท

ร้านกาแฟนรสิงห์อยู่ในเขตพระราชวังพญาไท ภายใน รพ.พระมงกุฏ เปิดบริการทุกวัน 9 โมงเช้าถึง 1 ทุ่ม

พิกัด GPS 13° 46′ 2″ N, 100° 32′ 3″ E",วังพญาไท,นรสิงห์,คาเฟ่,ร้านกาแฟนรสิงห์อยู่ในเขตพระราชวังพญาไท,ร้านกาแฟนรสิงห์ที่สืบทอดมาจากร้านกาแฟ นรสิงห์เดิมที่ตั้งอยู่มุมสนามเสือป่า ซึ่งนับเป็น ‘คาเฟ่’ แห่งแรกของสยามประเทศที่เกิดขึ้นในสมัยรัชกาลที่ 6,ร้านกาแฟนรสิงห์เป็นร้านกาแฟที่สืบทอดมาจากร้านกาแฟ นรสิงห์เดิมที่ตั้งอยู่มุมสนามเสือป่า ซึ่งนับเป็น ‘คาเฟ่’ แห่งแรกของสยามประเทศที่เกิดขึ้นในสมัยรัชกาลที่ 6,neutral,neutral,neutral
"ร้านอาหารเรื่อนปั้นหยา ที่จอดรถกว้างขวางสะดวกสบาย

รสชาติอาหารของที่นี่ถือว่าโอเคในระดับนึง แต่มีของแปลกๆอย่างเช่น เป็ดอบกาแฟ ห่อหมกครก
ราคาอาหารแพงไปนิดสำหรับคุณภาพอาหาร
บรรยากาศปานกลางครับ ไม่ได้เริ่ดหรูอลังการอย่างร้านอื่นๆในละแวกนี้

ลองดูครับหนึ่งทางเลือกสำหรับคนชอบ อาหารทะเล

ราคากลาง รสชาติดี บรรยากาศโอเค",อาหารทะเล,ราคา,บรรยากาศ,อาหารทะเล,ราคาอาหารแพงไปนิดสำหรับคุณภาพอาหาร,บรรยากาศปานกลางครับ ไม่ได้เริ่ดหรูอลังการอย่างร้านอื่นๆในละแวกนี้,neutral,negative,neutral
"ร้านกาแฟอเมซอน มีหลายสาขาครับ
แต่ที่แนะนำ คือร้านที่อยู่ในปั๊ม ปตท. ขาเข้ากทม จากจังหวัดนครปฐม
ที่มีร้านสรรพสินค้า เจ๊ต ในปั๊มด้วย
ร้านจะอยู่ด้วยหลัง เห็นชัดครับ

ร้านนี้พิเศษคือพนักงาน น่ารักทุกคน สังเกตว่า ลูกค้า มักเป็นหนุ่มๆ ทำฟอร์มมาดื่มกาแฟ
แต่ชอบดูพนักงานมากกว่า
และพิเศษอีกอย่าง คือ เค๊กของร้านนี้ พิเศษ มีขายเฉพาะสาขานี้
โดยเฉพาะเค๊กนมสด ซื้อไปให้ใครรับประทาน จะบอกว่าอร่อยทุกคนครับ
แนะนำเลย

ส่วนกาแฟที่ผมดื่มประจำ คือ Amazon special ก็คือ กาแฟ Amazon ที่เข้มข้น double
ขมสะใจดีครับ 
ที่ร้านมีหนังสือพิมพ์หลายฉบับให้นั่งอ่าน และ Wifi free ครับ

เอาไปเลยครับ สามดาว
",กาแฟ,เค้ก,พนักงาน,กาแฟที่นี่อร่อยมาก หอมกลิ่นกาแฟคั่วสด,เค้กของร้านนี้พิเศษ มีขายเฉพาะสาขานี้ โดยเฉพาะเค้กนมสด ซื้อไปให้ใครรับประทาน จะบอกว่าอร่อยทุกคนครับ,พนักงานน่ารักทุกคน,positive,positive,positive
"ขอไปกินกับเค้าบ้างเหอะ แหม อยู่ใกล้บ้านตั้งขนาดนี้ ไม่ได้ไปกินมาตั้งเกินสองปีแล้วนะเนี่ย อืม แต่ถึงไม่ได้กินนานแต่ก็ยังนึกรสออก แล้วก็ออกมาตามที่คิดจริงๆด้วย

ไปวันเสาร์ตอนบ่าย ไม่ต้องรอ แต่ว่าผ่านมาตอนดึกๆอีกที ปรากฎว่าต้องรอแฮะ คนตรูม อืม สงสัยจะเป็นวัฒนธรรมใหม่ๆเหมือนกันที่ทานข้าวเสร็จ + ก่อนไปเที่ยวต้องหาคาเฟ่นั่ง อันนี้ถือว่าน่าสนใจ

ร้านยังสวยเนี้ยบ ใส่ใจในรายละเอียด ไม่แปลกใจว่าดังได้นาน ยิ่งคุณเมออกหนังสือเล่มใหม่ตะลุยกินของหวานที่ญี่ปุ่นมาอีก ช่างเสริมกันซะจริงๆ เก่งครับ

วันนี้มาทาน Shibuya Honey Toast กับ Horlicks Latte  ชิบูยะ ฮันนี่ โทสท์ราคา 165 บาท จะว่าแพงมั้ยก็แพงแต่มันก็เยอะนะ ไอศครีมสองลูกกับขนมปังหนาประมาณขนมปังธรรมดา 4 แผ่น กินคนเดียวไม่หมดแน่ ขนมปังกรอบนอกนุ่มใน อร่อยครับ มี maple syrup ให้เทเองนี่สวรรค์ชัดๆ วิปครีมก็ปกติ แต่ที่ขัดนิดหน่อยคือไอติมวนิลานี่ไอติมวอลล์รึเปล่า ทำไมมันบ้านๆจัง อันนี้ถ้าเปลี่ยนได้ก็จะดี ส่วนฮอลิกส์ร้อน หวานไปหน่อย น่าจะสั่งกาแฟมากกว่าเพราะมันหวานแข่งกับ toast ที่แฟนผมใส่ syrup ซะท่วมจานฮ่าๆ

เหมือนมาจับผิด แต่จับได้ไม่มากนักเอาไปสี่ดาวเลย!",ฮันนี่ โทสท์,ราคา,รสชาติ,ฮันนี่ โทสท์ ชิบูยะ ฮันนี่ โทสท์ราคา 165 บาท,Shibuya Honey Toast ราคา 165 บาท,รสชาติขนมปังกรอบนอกนุ่มใน อร่อยครับ มี maple syrup ให้เทเองนี่สวรรค์ชัดๆ วิปครีมก็ปกติ แต่ที่ขัดนิดหน่อยคือไอติมวอลล์รึเปล่า ทำไมมันบ้านๆจัง อันนี้ถ้าเปลี่ยนได้ก็จะดี ส่วนฮอลิกส์ร้อน หวานไปหน่อย น่าจะสั่งกาแฟมากกว่าเพราะมันหวานแข่งกับ toast ที่แฟนผมใส่ syrup ซะท่วมจานฮ่าๆ,neutral,neutral,negative
"Vanilla Cafe (วานิลลาคาเฟ่) : คาเฟ่สไตล์ญี่ปุ่น-อิตาเลียน กลางซอยเอกมัย 12

ร้านวานิลลาคาเฟ่ เป็นหนึ่งในร้านของวานิลาการ์เด้นค่ะ โดยในสวนกลางซอยเอกมัย 12 นี้จะมีร้านย่อยๆ อีก 3 ร้านด้วยกันค่ะ Vanilla Cafe’, Royal Vanilla และ Sauce  Vanilla Cafe’ (ร้านหนังสือ) ซึ่งครั้งนี้ออฟ ไผ่ จิโรจและมิวหลังจากที่ไปเที่ยวตลาดคลองสวนกันมาแล้ว ไปเที่ยวตลาด 100 ปีบ้านใหม่มาแล้ว ไปดู I am number four มากันแล้ว ก็มาปิดท้ายการทานอาหารเย็นร่วมกันที่ร้านวานิลลาค่ะ ที่เลือกร้านนี้เพราะว่าเห็นว่าเป็นร้านที่พี่สาวโปรดปรานเอามากๆ เรียกได้ว่าแนะนำถึงขนาดว่า ต้องมาทานคาโบนาร่าของที่นี่ให้ได้เลยทีเดียวค่ะ

อ่านรายละเอียดต่อได้ที่ http://don-jai.com/vanilla-cafe/",คาเฟ่,วานิลลา,คาโบนาร่า,คาเฟ่สไตล์ญี่ปุ่น-อิตาเลียน กลางซอยเอกมัย 12,ร้านวานิลลาคาเฟ่ เป็นหนึ่งในร้านของวานิลาการ์เด้นค่ะ,ร้านวานิลลาคาเฟ่ (ร้านหนังสือ) ซึ่งครั้งนี้ออฟ ไผ่ จิโรจและมิวหลังจากที่ไปเที่ยวตลาดคลองสวนกันมาแล้ว ไปเที่ยวตลาด 100 ปีบ้านใหม่มาแล้ว ไปดู I am number four มากันแล้ว ก็มาปิดท้ายการทานอาหารเย็นร่วมกันที่ร้านวานิลลาค่ะ ที่เลือกร้านนี้เพราะว่าเห็นว่าเป็นร้านที่พี่สาวโปรดปรานเอามากๆ,neutral,neutral,positive
